Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis cerana
Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus vancouverensis	Bombus vancouverensis nearcticus
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus pyrosoma
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus vosnesenskii
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus bifarius
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus huntii
Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris
Arthropoda	Insecta	Hymenoptera	Formicidae	Ooceraea	Ooceraea biroi
Arthropoda	Insecta	Hymenoptera	Formicidae	Cataglyphis	Cataglyphis hispanica
Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia	Nylanderia fulva
Arthropoda	Insecta	Hymenoptera	Formicidae	Harpegnathos	Harpegnathos saltator
Arthropoda	Insecta	Hymenoptera	Formicidae	Dinoponera	Dinoponera quadriceps
Arthropoda	Insecta	Hymenoptera	Formicidae	Odontomachus	Odontomachus brunneus
Arthropoda	Insecta	Hymenoptera	Formicidae	Cyphomyrmex	Cyphomyrmex costatus
Arthropoda	Insecta	Hymenoptera	Formicidae	Vollenhovia	Vollenhovia emeryi
Arthropoda	Insecta	Hymenoptera	Formicidae	Monomorium	Monomorium pharaonis
Arthropoda	Insecta	Hymenoptera	Formicidae	Temnothorax	Temnothorax curvispinosus
Arthropoda	Insecta	Hymenoptera	Formicidae	Pseudomyrmex	Pseudomyrmex gracilis
Arthropoda	Insecta	Hymenoptera	Formicidae	Pogonomyrmex	Pogonomyrmex barbatus
Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus floridanus
Arthropoda	Insecta	Hymenoptera	Formicidae	Acromyrmex	Acromyrmex echinatior
Arthropoda	Insecta	Hymenoptera	Formicidae	Linepithema	Linepithema humile
Arthropoda	Insecta	Hymenoptera	Formicidae	Formica	Formica exsecta
Arthropoda	Insecta	Hymenoptera	Formicidae	Wasmannia	Wasmannia auropunctata
Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsis	Solenopsis invicta
Arthropoda	Insecta	Hymenoptera	Formicidae	Atta	Atta colombica
Arthropoda	Insecta	Hymenoptera	Formicidae	Atta	Atta cephalotes
Arthropoda	Insecta	Hymenoptera	Formicidae	Trachymyrmex	Trachymyrmex cornetzi
Arthropoda	Insecta	Hymenoptera	Formicidae	Trachymyrmex	Trachymyrmex zeteki
Arthropoda	Insecta	Hymenoptera	Formicidae	Trachymyrmex	Trachymyrmex septentrionalis
Chordata	Coelacanthiformes	Coelacanthidae	Latimeria	Latimeria chalumnae
Chordata	Ceratodontiformes	Protopteridae	Protopterus	Protopterus annectens
Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon marinus
Chordata	Cladistia	Polypteriformes	Polypteridae	Polypterus	Polypterus senegalus
Chordata	Cladistia	Polypteriformes	Polypteridae	Erpetoichthys	Erpetoichthys calabaricus
Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma belcheri
Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma floridae
Chordata	Ascidiacea	Stolidobranchia	Styelidae	Styela	Styela clava
Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona	Ciona intestinalis
Chordata	Crocodylia	Gavialidae	Gavialis	Gavialis gangeticus
Chordata	Crocodylia	Crocodylidae	Crocodylus	Crocodylus porosus
Chordata	Crocodylia	Alligatoridae	Alligator	Alligator sinensis
Chordata	Crocodylia	Alligatoridae	Alligator	Alligator mississippiensis
Chordata	Chondrichthyes	Rajiformes	Rajidae	Amblyraja	Amblyraja radiata
Chordata	Chondrichthyes	Lamniformes	Alopiidae	Carcharodon	Carcharodon carcharias
Chordata	Chondrichthyes	Chimaeriformes	Callorhinchidae	Callorhinchus	Callorhinchus milii
Chordata	Chondrichthyes	Carcharhiniformes	Scyliorhinidae	Scyliorhinus	Scyliorhinus canicula
Chordata	Chondrichthyes	Orectolobiformes	Stegostomatidae	Stegostoma	Stegostoma tigrinum
